"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"CD274","CD274",0.131527871,0.003183477,0.350233129427176,4.703178847,0.0102349641918195,0,0.00000000152851067573101,0.00308225594303416,0,0.000000000309061377871076,0.986682778027574
"FCGR1A","FCGR1A",0.159395434,0,0.417901734332968,4.915267487,0.0102216282826358,0.00731082404187027,0,0,0.00000000058246664117639,0.0122758426674618,0.970191704425565
"FCMR","FCMR",0.574062808,0.041822318,1.17782222118084,6.471220603,0.0101396693866848,0,0,0.000000000489983603215955,0.000000000226334826957202,0,0.989860329896997
"RB1","RB1",0.84964375,0.67082657,0.882698990826126,6.67909543,0.0099663718307493,0.00575490666964102,0,0.018776657590748,0,0.0208008187549708,0.944701245153891
"C1QBP","C1QBP",0.654096173,0.52005444,0.744102020397449,5.64669329,0.00996564566058009,0,0.0000540757515079454,0,0.0108666804744653,0,0.979113598113447
"LILRB4","LILRB4",0.146277918,0,0.379142558695735,3.026488472,0.00995173695318798,0.0183237229231996,0,0,0,0.00170729721156936,0.970017242912043
"FOS","FOS",0.36329453,0.116752229,0.643188155302517,5.646693287,0.00993283045061727,0,0,0,0,0,0.990067169549383
"TNFRSF17","TNFRSF17",0.120832227,0,0.492035089717127,5.218005022,0.00991293455863982,0,0,0,0,0,0.99008706544136
"CMKLR1","CMKLR1",0.564349462,0.16594149,0.947703360706638,5.41280088,0.00976297995159014,0.00586084792900745,0,0.00261898625001323,0.00000000308366034368168,0,0.981757182785729
"IRF8","IRF8",0.753688258,0.158178651,1.24665597757731,6.150775904,0.00968666694505718,0,0.000000000265592853479892,0.0124455912831235,0,0,0.977867741506226
"LYVE1","LYVE1",1.084020653,0.28410666,1.69006144332033,6.50239647,0.00965002555020238,0,0,0,0.00527825623797669,0,0.985071718211821
"GRM7","GRM7",0.024051616,0,0.0776573925802756,1.218503836,0.00960440020883988,0,0,0.000000000122223009611052,0,0.0175544590613253,0.972841140607612
"JCHAIN","JCHAIN",0.565267907,0.041561219,1.33915715725477,6.67169814,0.00959960443167538,0.0227988225705331,0.00000012861748801805,0.00313270388315223,0.00475328377866716,0.000000000327108470525303,0.959715456391376
"COL1A2","COL1A2",2.659179856,2.23291324,1.96834553644365,7.13793677,0.00959319854580365,0.0172078162143378,0,0,0.0133577406626198,0.00738612160363897,0.9524551229736
"SHH","SHH",0.044016627,0,0.24352736133033,5.20524277,0.00955858813065119,0,0,0,0.0231021339504429,0,0.967339277918906
"TP53","TP53",0.697357669,0.51952608,0.823123753128882,6.85196394,0.0094109107398485,0,0,0,0,0.0000000133746738060147,0.990589075885478
"DERL3","DERL3",0.186764935,0,0.692996912101584,5.709332856,0.00939713731500509,0,0,0.0137879580219766,0,0,0.976814904663018
"SAMD3","SAMD3",0.378685844,0.026662158,0.912824509729979,5.312236514,0.00939213220314632,0,0,0.00269075830861579,0.0137343480137696,0.000000000324819440148143,0.974182761149649
"FCER1A","FCER1A",0.169450562,0,0.530257856162084,5.40607415,0.00916884083797181,0,0.00000000531394217351613,0.00143793933614892,0.00505413550663816,0,0.984339079005299
